Customer_ID,Name,Age,Gender,Location,Join_Date,Churn,Total_Spent
2001,Allison Hill,45,Female,Jacksonville,2022-03-20,0,9874.43
2002,Noah Rhodes,50,Male,San Antonio,2023-10-05,0,14179.57
2003,Angie Henderson,63,Female,New York,2023-01-25,0,10452.91
2004,Daniel Wagner,52,Male,Philadelphia,2024-11-30,1,1148.4
2005,Cristian Santos,60,Female,San Jose,2024-06-02,0,7136.55
2006,Connie Lawrence,25,Female,Dallas,2023-10-05,1,2173.79
2007,Abigail Shaffer,38,Female,Jacksonville,2023-09-26,1,2219.53
2008,Gina Moore,30,Female,Austin,2023-08-29,0,8076.69
2009,Gabrielle Davis,29,Female,San Antonio,2024-02-16,1,1215.04
2010,Ryan Munoz,31,Female,San Jose,2022-01-01,0,8044.56
2011,Monica Herrera,46,Male,Dallas,2023-10-22,0,9711.63
2012,Jamie Arnold,68,Male,Austin,2024-08-27,1,3100.73
2013,Lisa Hensley,60,Female,Los Angeles,2022-06-23,0,8100.35
2014,Michele Williams,32,Male,Chicago,2023-04-27,1,1798.99
2015,Dylan Miller,48,Male,San Diego,2022-02-20,0,12604.82
2016,Brian Ramirez,54,Male,Jacksonville,2024-04-28,1,378.16
2017,Holly Wood,33,Male,Austin,2024-02-26,0,10224.36
2018,Derek Zuniga,67,Male,San Antonio,2022-01-12,1,838.75
2019,Lisa Jackson,62,Female,New York,2023-03-25,0,8740.33
2020,Carla Gray,25,Female,Chicago,2023-05-26,1,547.0
2021,Margaret Hawkins DDS,53,Female,San Diego,2024-08-09,1,1751.86
2022,Patty Perez,53,Female,Chicago,2024-10-30,0,8363.48
2023,Ethan Adams,66,Male,Austin,2024-08-30,0,11217.41
2024,Tommy Walter,51,Female,Austin,2023-07-22,1,1191.85
2025,Matthew Foster,22,Female,Houston,2023-05-05,0,5374.02
2026,Judy Baker,52,Male,Chicago,2023-07-11,0,9510.0
2027,Justin Baker,62,Male,Jacksonville,2022-11-05,0,6553.93
2028,Stephanie Ross,44,Female,Dallas,2023-03-15,0,10405.53
2029,Zachary Hicks,31,Female,San Antonio,2024-08-12,0,8260.02
2030,Anthony Rodriguez,66,Female,San Diego,2022-02-10,1,568.15
2031,Rebecca Henderson,37,Female,San Antonio,2022-01-13,1,971.24
2032,James Ferrell,35,Female,San Diego,2023-03-28,0,3124.79
2033,Tricia Valencia,60,Female,Jacksonville,2022-03-01,0,7346.57
2034,Nathan Maldonado,26,Male,San Antonio,2022-12-05,1,254.5
2035,Debra Davidson,45,Male,San Diego,2022-02-25,0,14684.27
2036,Jeffrey Chavez,42,Female,Houston,2023-01-08,0,4982.88
2037,Sherri Baker,66,Female,Phoenix,2024-07-20,0,15027.76
