Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2001,Allison Hill,24,Female,Philadelphia,2022-03-20,7885.34
2002,Noah Rhodes,45,Male,San Antonio,2023-10-05,4405.6
2003,Angie Henderson,34,Male,Jacksonville,2023-01-25,9575.37
2004,Daniel Wagner,18,Male,Philadelphia,2024-06-12,3681.7
2005,Cristian Santos,22,Female,San Jose,2024-06-02,7154.34
2006,Connie Lawrence,60,Male,Jacksonville,2023-10-05,9037.23
2007,Abigail Shaffer,50,Female,Austin,2023-09-08,5160.66
2008,Gina Moore,38,Female,Jacksonville,2024-04-16,4752.28
2009,Gabrielle Davis,53,Male,Houston,2023-08-29,6476.38
2010,Ryan Munoz,60,Female,Austin,2024-05-11,3227.72
2011,Monica Herrera,57,Female,San Antonio,2022-12-23,6931.03
2012,Jamie Arnold,37,Female,Houston,2022-01-01,3974.63
2013,Lisa Hensley,68,Female,San Diego,2024-05-30,7488.84
2014,Michele Williams,46,Male,Dallas,2024-06-23,2903.46
2015,Dylan Miller,68,Male,Austin,2024-08-27,10080.72
2016,Brian Ramirez,36,Female,Los Angeles,2022-06-23,7967.68
2017,Holly Wood,61,Female,Houston,2023-04-27,3364.54
2018,Derek Zuniga,27,Male,New York,2023-02-12,6912.9
2019,Lisa Jackson,48,Male,San Diego,2023-05-17,4610.65
2020,Carla Gray,58,Male,Jacksonville,2024-04-28,9899.56
2021,Margaret Hawkins DDS,49,Female,Houston,2024-02-26,3532.35
2022,Patty Perez,59,Male,Los Angeles,2022-10-30,3669.03
2023,Ethan Adams,32,Male,Jacksonville,2024-05-20,9219.77
2024,Tommy Walter,47,Male,Dallas,2024-11-26,8511.3
2025,Matthew Foster,25,Female,Chicago,2023-05-26,7441.21
2026,Judy Baker,60,Female,San Diego,2024-08-09,8047.85
2027,Justin Baker,45,Female,Chicago,2024-10-30,9474.7
2028,Stephanie Ross,46,Female,Houston,2024-08-30,2419.93
2029,Zachary Hicks,67,Female,Austin,2023-07-22,6712.37
2030,Anthony Rodriguez,35,Female,Los Angeles,2023-05-05,4769.95
2031,Rebecca Henderson,33,Female,Philadelphia,2023-08-09,5654.06
2032,James Ferrell,52,Male,Chicago,2023-10-17,6504.94
2033,Tricia Valencia,32,Female,Jacksonville,2022-11-05,8356.26
2034,Nathan Maldonado,63,Male,Los Angeles,2022-11-09,5994.29
2035,Debra Davidson,44,Female,Dallas,2024-04-29,7209.95
2036,Jeffrey Chavez,44,Male,Houston,2024-08-12,7057.32
2037,Sherri Baker,42,Male,San Jose,2024-05-10,8536.53
2038,Cassandra Gaines,48,Male,Philadelphia,2024-02-19,5838.24
2039,Elizabeth Fowler,66,Female,San Antonio,2023-09-04,10863.53
2040,Brittany Farmer,49,Male,Phoenix,2023-03-28,3223.75
2041,Paula Moreno,49,Male,San Antonio,2024-06-11,7133.39
2042,Fred Smith,60,Female,Jacksonville,2023-11-20,8559.12
2043,Sherry Decker,47,Male,San Jose,2022-12-05,7430.13
2044,Anthony Humphrey,19,Female,San Jose,2024-12-29,7496.43
2045,Angelica Tucker,23,Female,Chicago,2022-02-25,5159.07
2046,Philip Cannon,29,Male,Phoenix,2024-08-03,4206.27
2047,John Pierce,38,Male,San Diego,2024-02-16,5221.68
2048,Shane Henderson,39,Female,Phoenix,2023-11-01,5026.01
2049,Joshua Blair,34,Male,San Diego,2024-05-13,5271.32
2050,Eric Carney,65,Male,Philadelphia,2022-02-09,4450.31
2051,Jessica Holmes,59,Male,Austin,2023-04-05,3936.64
2052,Danny Morgan,66,Male,Houston,2022-03-24,10278.26
2053,Crystal Robinson,19,Male,Houston,2023-02-13,3941.63
2054,Mark Perez,48,Male,San Jose,2022-09-16,2331.43
2055,Shannon Jones,47,Female,Philadelphia,2023-03-23,8142.14
2056,Michael Lewis,56,Male,Chicago,2022-12-10,4518.29
2057,Timothy Duncan,24,Male,Phoenix,2023-09-30,6033.67
2058,Richard Aguirre,43,Male,Los Angeles,2024-02-08,6206.53
2059,Brent Jordan,24,Female,Austin,2023-05-13,6317.45
2060,John Daniel,68,Male,Philadelphia,2022-09-05,5648.26
2061,Victoria Garcia,45,Female,Los Angeles,2024-12-27,7237.19
2062,Gerald Hensley,59,Female,New York,2024-11-02,7469.99
2063,Connor West,70,Female,Los Angeles,2024-05-10,7241.01
2064,Donald Wright,41,Female,Jacksonville,2024-06-06,7139.38
2065,Jessica Callahan,45,Male,Jacksonville,2022-11-10,4178.39
2066,Amber Kidd,59,Female,San Jose,2024-12-04,5738.09
2067,Tracy House,47,Female,Jacksonville,2024-09-17,8908.93
2068,Carol Tucker,38,Male,Los Angeles,2023-07-04,7641.49
2069,James Brown,46,Male,San Diego,2023-07-26,3946.09
2070,William Baker,39,Male,San Diego,2024-02-16,2256.53
2071,Jordan Henderson,29,Female,Houston,2023-10-28,4191.44
2072,Whitney Peters,69,Female,Philadelphia,2023-12-28,5088.45
2073,Brittney Phillips,56,Female,Dallas,2023-07-27,6940.11
2074,Lauren Daniels,51,Male,Los Angeles,2022-01-21,4999.76
2075,Amy Silva,64,Female,San Diego,2023-05-10,6188.79
2076,Sarah Moore,62,Female,Austin,2023-05-08,5008.39
2077,Angela Lopez,46,Male,Los Angeles,2024-10-02,7003.38
2078,Megan Young,32,Female,Jacksonville,2023-08-26,3885.74
